software,precision,recall,fscore
tomcat,0.15553785354976105,0.3925077130358955,0.2384271545158389
tomcat,0.16756792702420348,0.3866635971640394,0.2466524076449026
tomcat,0.1702669487807286,0.385508084950363,0.23503634248308977
tomcat,0.16819527400228415,0.38838230727632955,0.2671036843657073
tomcat,0.17749824502418887,0.3665731670411955,0.2657157264336846
tomcat,0.17185518125563645,0.37023036531332376,0.26465746014922026
tomcat,0.1474539770158396,0.36868032570006176,0.2570870089382559
tomcat,0.17670622094897873,0.3698880387854801,0.2625152474269341
tomcat,0.1654250849244004,0.3972562925915484,0.24122225038281037
tomcat,0.16409200942743193,0.381810211889543,0.24871978979461218
