ConfigurationA,ConfigurationB,performance-sensitive,performance-sensitive,source
mapreduce.shuffle.transfer.buffer.size,mapreduce.shuffle.transferTo.allowed,1,1,code
mapreduce.job.end-notification.max.attempts,mapreduce.job.end-notification.retry.attempts,1,1,both
mapreduce.shuffle.transferTo.allowed,mapreduce.shuffle.transfer.buffer.size,1,1,code
mapreduce.map.java.opts,mapreduce.map.memory.mb,0,1,code
mapreduce.job.ubertask.enable,mapreduce.job.ubertask.maxbytes,0,1,code
mapreduce.job.end-notification.retry.attempts,mapreduce.job.end-notification.max.attempts,1,1,code
mapreduce.job.end-notification.retry.interval,mapreduce.job.end-notification.max.retry.interval,0,1,code
mapreduce.job.reduces,mapreduce.framework.name,1,0,both
mapreduce.job.local-fs.single-disk-limit.check.kill-limit-exceed,mapreduce.job.local-fs.single-disk-limit.bytes,0,1,both
