AcceptFilter,0.25%
CGIVar,0.48%
ContentDigest,11.29%
EnableMMAP,0.45%
EnableSendfile,60.11%
ExtendedStatus,1.22%
FlushMaxPipelined,0.80%
FlushMaxThreshold,5.32%
HostnameLookups,0.22%
KeepAlive,2.34%
KeepAliveTimeout,5.09%
LimitInternalRecursion,0.10%
LimitRequestBody,0.31%
LimitRequestFields,872.11%
LimitRequestFieldSize,6.25%
LimitRequestLine,1.02%
LimitXMLRequestBody,6.20%
LogLevel,0.84%
MaxKeepAliveRequests,5.10%
MaxRangeOverlaps,1.33%
MaxRangeReversals,0.29%
MaxRanges,0.38%
MergeSlashes,1.05%
MergeTrailers,1.72%
Mutex,5.51%
QualifyRedirectURL,1.14%
ReadBufferSize,5.05%
RegexDefaultOptions,2.11%
RLimitCPU,4.82%
RLimitMEM,5.73%
RLimitNPROC,1.59%
SeeRequestTail,0.23%
SetInputFilter,2.47%
TimeOut,8.03%
TraceEnable,1.17%
AcceptPathInfo,3.20%
AccessFileName,2.64%
AddDefaultCharset,3.02%
AllowEncodedSlashes,0.90%
AllowOverride,2.78%
AllowOverrideList,3.11%
CGIMapExtension,1.50%
CGIPassAuth,1.82%
DefaultRuntimeDir,1.59%
DefaultType,1.15%
Define,1.37%
DocumentRoot,2.89%
Error,4.82%
ErrorDocument,3.39%
ErrorLog,0.89%
ErrorLogFormat,1.16%
FileETag,2.48%
ForceType,2.26%
GprofDir,0.96%
HttpProtocolOptions,2.58%
Include,2.62%
IncludeOptional,2.47%
NameVirtualHost,0.81%
Options,2.99%
Protocol,1.79%
Protocols,4.57%
ProtocolsHonorOrder,1.47%
RegisterHttpMethod,2.20%
ScriptInterpreterSource,4.46%
ServerAdmin,0.65%
ServerAlias,1.33%
ServerName,4.62%
ServerPath,2.79%
ServerRoot,0.55%
ServerSignature,1.71%
ServerTokens,1.41%
SetHandler,1.84%
SetOutputFilter,1.99%
StrictHostCheck,4.39%
UnDefine,1.78%
UseCanonicalName,0.78%
UseCanonicalPhysicalPort,4.38%
